# Binding energy computed at nf=2, nt=50, Z_2 at order k^2
# mu_B/m_B   @k=0.02                   @k=0.04                   @k=0.06
1.001       -0.001415925742633659     -0.006454881302101606     -0.019881938648135047
1.0012      -0.001447087840409675     -0.006567869210722101     -0.020172884188830092
1.0014      -0.0014780699568961943    -0.0066798713987680355    -0.020458782894352892
1.0016      -0.0015088474088028427    -0.0067908009622491645    -0.020739327319318247
1.0018      -0.001539396159349027     -0.006900573221301166     -0.02101421486448036
1.002       -0.0015696932532897065    -0.007009107487005705     -0.02128315429678294
1.0022      -0.001599717189746083     -0.007116328756616479     -0.021545872591141074
1.0024      -0.0016294481769859332    -0.007222169188428088     -0.021802121681795333
1.0026      -0.0016588682231417325    -0.007326569216005335     -0.022051684694741173
1.0028      -0.0016879610324737836    -0.007429478181503306     -0.022294381243230976
1.003       -0.0017167116964736202    -0.007530854397975373     -0.02253007140580595
1.0032      -0.0017451061907246773    -0.007630664588640211     -0.02275865806885891
1.0034      -0.0017731307096994235    -0.007728882694172131     -0.022980087399595044
1.0036      -0.0018007708903902018    -0.007825488083958478     -0.023194347315058036
1.0038      -0.0018280109899772965    -0.007920463250645542     -0.023401463922078283
1.004       -0.0018548330912500144    -0.00801379110616028      -0.023601496014589385
1.0042      -0.0018812164113829325    -0.008105452029179831     -0.02379452782174985
1.0044      -0.0019071367847023578    -0.008195420836805984     -0.02398066029650677
1.0046      -0.0019325663786140504    -0.008283663865729528     -0.02416000131458008
1.0048      -0.001957473684818777     -0.00837013634984759      -0.024332655214700478
1.005       -0.0019818238067358684    -0.008454780272127241     -0.024498712150276335
1.0051      -0.0020055790405198834    -0.00853752284899747      -0.024658237739842208
1.0054      -0.002028699723309563     -0.008618275776639647     -0.024811263499251456
1.0056      -0.0020511453006115477    -0.008696935331552157     -0.024957778514044075
1.0058      -0.002072875547091467     -0.008773383374368797     -0.025097722767716737
1.006       -0.0020938518632447017    -0.008847489258148924     -0.025230982482905024
1.0062      -0.002114038565572016     -0.00891911259263148      -0.025357387759978162
1.0064      -0.002133404090338182     -0.00898810676697375      -0.025476712713377318
1.0066      -0.002151922040261907     -0.009054323088240272     -0.025588678212345055
1.0068      -0.0021695720183172646    -0.009117615354404125     -0.025692957231790464
1.007       -0.0021863402113832726    -0.009177844651752847     -0.025789182713566026
1.0072      -0.0022022197066151818    -0.009234884149791176     -0.02587695773159184
1.0074      -0.0022172105429895473    -0.009288623663693728     -0.025955867650005043
1.0076      -0.0022313195176504523    -0.009338973765766182     -0.02602549386647603
1.0078      -0.002244559780116221     -0.009385869252711483     -0.026085428648287813
1.008       -0.0022569502563707638    -0.009429271813035243     -0.026135290502294198
1.0082      -0.002268514949246461     -0.00946917178580061      -0.026174739476763926
1.0084      -0.0022792821617115405    -0.009505588954461337     -0.02620349177799181
1.0086      -0.0022892836864744294    -0.00953857237349664      -0.026221333100496
1.0088      -0.0022985539996752654    -0.009568199276880511     -0.026228130117771753
1.009       -0.0023071294893478663    -0.0095945731623146       -0.026223839659628476
1.0091      -0.002315047741710344     -0.009617821180727236     -0.02620851520824683
1.0094      -0.002322346900912603     -0.009638090984949905     -0.026182310471976975
1.0096      -0.002329065111160652     -0.009655547204039681     -0.026145479935382535
1.0098      -0.0023352400444703455    -0.009670367710852902     -0.026098376426698083
1.01        -0.0023409085128156663    -0.009682739841536309     -0.026041445880064764
1.0102      -0.002346106160128291     -0.009692856708609759     -0.025975219590664254
1.0104      -0.0023508672273762346    -0.009700913726637445     -0.025900304358746597
1.0106      -0.0023552243826445714    -0.009707105443572856     -0.025817370988371176
1.0108      -0.0023592086075800898    -0.009711622743986664     -0.02572714164582626
1.011       -0.002362849131564146     -0.009714650464469423     -0.0256303765912395
1.0111      -0.0023661734053790026    -0.009716365438011037     -0.025527860777250926
1.0114      -0.002369207106792505     -0.009716934964082255     -0.025420390765176774
1.0116      -0.0023719741712909708    -0.009716515685003497     -0.025308762347482822
1.0118      -0.00237449684205456      -0.009715252837112224     -0.02519375919181508
1.012       -0.0023767957341315686    -0.00971327983704924      -0.025076142742537742
1.0122      -0.002378889908586328     -0.00971071815877489      -0.024956643536280063
1.0124      -0.0023807969531445716    -0.009707677455166742     -0.024835954013104358
1.0126      -0.0023825330665267186    -0.009704255878655102     -0.02471472283806446
1.0128      -0.0023841131442398932    -0.009700540557729134     -0.02459355069146566
1.013       -0.002385550864094591     -0.009696608189758982     -0.024472987441205848
1.0131      -0.002386858770127658     -0.009692525714949484     -0.024353530577355603
1.0134      -0.002388048353957118     -0.009688351040976659     -0.02423562476703936
1.0136      -0.0023891301328746693    -0.009684133792656447     -0.02411966237553987
1.0138      -0.002390113724207386     -0.009679916065618004     -0.024005984795879863
1.014       -0.0023910079156590678    -0.009675733167256065     -0.023894884432314842
1.0142      -0.002391820731481927     -0.009671614332108046     -0.02378660719152501
1.0144      -0.0023925594944370363    -0.009667583402200758     -0.023681355347312034
1.0146      -0.0023932308835836425    -0.009663659465819612     -0.023579290658928494
1.0148      -0.002393840987997546     -0.00965985745058446      -0.023480537638638995
1.015       -0.002394395356562125     -0.009656188668703231     -0.023385186879826606
1.0151      -0.002394899044005038     -0.009652661313855228     -0.023293298372236555
1.0154      -0.002395356653372894     -0.009649280910382372     -0.02320490474525759
1.0156      -0.002395772375146886     -0.009646050716383418     -0.023120014393208967
