# Convergence in N_B using Z2 as a function of h_2 with beta=0, nt=50, h1=0.8
# h2      @o(k^2)                 @o(k^4)                 @o(k^6)                  @o(k^8)
0.05456   1.026552939939215       1.001498204076015       1.0017116590896977       1.0071092191213449
0.0549    1.02311384499627        0.9977830259731235      0.9980000188438083       1.0035171878554663
0.0551    1.0196747500533245      0.9940663350857936      0.994286904690641        0.9999256596406432
0.05544   1.0162356551103795      0.9903481314140259      0.9905723168426396       0.996334656354347
0.05575   1.0127965601674351      0.9866284149578208      0.9868562555122484       0.9927441999921142
0.0561    1.009357465224489       0.982907185717176       0.983138720911908        0.9891543126675445
0.0563    1.005918370281544       0.9791844436920942      0.9794197132540656       0.985565016612308
0.0566    1.0024792753385996      0.975460188882575       0.9756992327511633       0.9819763341761372
0.05695   0.9990401803956548      0.9717344212886171      0.9719772796156438       0.9783882878268291
0.0573    0.9956010854527086      0.9680071409102198      0.9682538540599499       0.9748009001502476
0.0576    0.9921619905097643      0.9642783477473864      0.9645289562965282       0.9712141938503247
0.0578    0.9887228955668187      0.9605480418001138      0.960802586537819        0.9676281917490528
0.05815   0.9852838006238726      0.9568162230684024      0.9570747449962669       0.9640429167864932
0.05846   0.9818447056809282      0.9530828915522549      0.953345431884317        0.9604583920207745
0.0588    0.9784056107379833      0.9493480472516685      0.9496146474144105       0.9568746406280857
0.0590    0.9749665157950382      0.9456116901666443      0.9458823917989927       0.953291685902685
0.05934   0.9715274208520928      0.9418738202971811      0.9421486652505049       0.9497095512568944
0.05966   0.9680883259091477      0.9381344376432807      0.9384134679813927       0.9461282602211034
0.06      0.9646492309662028      0.9343935422049421      0.9346768002040986       0.9425478364437658
0.0602    0.9612101360232572      0.930651133982165       0.930938662131066        0.9389683036914
0.06054   0.9577710410803123      0.9269072129749503      0.9271990539747397       0.9353896858485922
0.06086   0.9543319461373674      0.9231617791832976      0.9234579759475618       0.9318120069179925
0.0612    0.9508928511944224      0.9194148326072069      0.9197154282619759       0.9282352910203169
0.0614    0.9474537562514757      0.9156663732466762      0.9159714111304245       0.9246595623943452
0.06174   0.9440146613085325      0.9119164011017111      0.9122259247653557       0.92108484539693
0.06205   0.9405755663655869      0.9081649161723055      0.9084789693792075       0.9175111645029781
0.0624    0.937136471422642       0.9044119184584625      0.904730545184426        0.9139385443054705
0.0626    0.9336973764796959      0.9006574079601802      0.9009806523934534       0.9103670095154494
0.063     0.930258281536752       0.8969013846774622      0.8972292912187362       0.9067965849620276
0.0633    0.9268191865938059      0.8931438486103038      0.8934764618727131       0.9032272955923754
0.0635    0.9233800916508621      0.8893847997587098      0.8897221645678332       0.8996591664717379
0.0639    0.919940996707916       0.8856242381226751      0.8859663995165348       0.8960922227834162
0.0642    0.916501901764971       0.8818621637022038      0.8822091669312646       0.8925264898287855
0.0644    0.9130628068220255      0.8780985764972937      0.8784504670244645       0.8889619930272811
0.0648    0.9096237118790811      0.8743334765079467      0.8746903000085801       0.8853987579164073
0.0650    0.9061846169361356      0.8705668637341606      0.8709286660960527       0.8818368101517298
0.0654    0.9027455219931895      0.8667987381759357      0.8671655654993257       0.878276175506883
0.0657    0.8993064270502439      0.8630290998332734      0.8634009984308438       0.8747168798735673
0.0659    0.8958673321072995      0.8592579487061741      0.8596349651030517       0.871158949261548
0.0663    0.8924282371643557      0.8554852847946375      0.8558674657283918       0.867602409798655
0.0665    0.8889891422214096      0.8517111080986604      0.8520985005193049       0.8640472877307812
0.0668    0.8855500472784646      0.8479354186182464      0.8483280696882379       0.8604936094218912
0.0672    0.8821109523355197      0.8441582163533943      0.8445561734476335       0.8569414013540111
0.0674    0.8786718573925736      0.8403795013041031      0.8407828120099334       0.8533906901272321
0.0678    0.8752327624496298      0.836599273470376       0.8370079855875853       0.8498415024597158
0.0681    0.8717936675066842      0.8328175328522092      0.8332316943930278       0.8462938651876817
0.0683    0.8683545725637393      0.829034279449605       0.8294539386387076       0.8427478052654213
0.0687    0.8649154776207937      0.8252495132625619      0.8256747185370663       0.8392033497652879
0.0689    0.8614763826778482      0.8214632342910809      0.8218940343005487       0.8356605258777023
0.0693    0.8580372877349032      0.8176754425351624      0.818111886141598        0.8321193609111512
0.0696    0.8545981927919583      0.813886137994806       0.8143282742726576       0.8285798822921852
0.0698    0.8511590978490133      0.8100953206700114      0.8105431989061712       0.8250421175654206
0.0702    0.8477200029060683      0.8063029905607786      0.8067566602545823       0.8215060943935404
0.0705    0.8442809079631234      0.802509147667108       0.8029686585303334       0.8179718405572923
0.0707    0.8408418130201772      0.798713791988998       0.7991791939458684       0.8144393839554889
0.0711    0.8374027180772323      0.7949169235264512      0.7953882667136322       0.8109087526050108
0.0713    0.8339636231342873      0.7911185422794662      0.791595877046067        0.8073799746408021
0.0717    0.8305245281913424      0.7873186482480432      0.7878020251556169       0.8038530783158727
0.072     0.8270854332483957      0.7835172414321804      0.784006711254723        0.8003280920012965
0.0722    0.8236463383054531      0.7797143218318836      0.7802099355558354       0.7968050441862206
0.0726    0.8202072433625069      0.7759098894471452      0.7764116982713892       0.7932839634778437
0.0728    0.8167681484195619      0.77210394427797        0.7726119996138332       0.7897648786014433
0.0731    0.813329053476617       0.7682964863243568      0.7688108397956094       0.786247818400356
0.0735    0.8098899585336721      0.7644875155863053      0.765008219029161        0.782732811835985
0.0737    0.8064508635907259      0.7606770320638147      0.7612041375269316       0.7792198879877976
0.0741    0.8030117686477803      0.7568650357568867      0.7573985955013647       0.775709076053331
0.0744    0.799572673704836       0.7530515266655217      0.7535915931649055       0.772200405348185
0.0746    0.7961335787618904      0.7492365047897175      0.7497831307299954       0.768693905306023
0.075     0.7926944838189449      0.7454199701294751      0.7459732084090775       0.7651896054785774
0.0752    0.7892553888760006      0.741601922684796       0.7421618264145986       0.7616875355356459
0.0755    0.785816293933055       0.7377823624556776      0.7383489849589991       0.7581877252650884
0.0759    0.7823771989901094      0.733961289442121       0.7345346842547225       0.7546902045728334
0.0761    0.778938104047165       0.7301387036441278      0.7307189245142147       0.7511950034828759
0.0765    0.7754990091042206      0.7263146050616963      0.7269017059499168       0.7477021521372731
0.0768    0.772059914161274       0.7224889936948246      0.7230830287742723       0.7442116807961472
0.0770    0.7686208192183296      0.718661869543517       0.7192628931997271       0.7407236198376929
0.0774    0.765181724275384       0.7148332326077702      0.7154412994387221       0.7372379997581616
0.0776    0.7617426293324396      0.7110030828875866      0.7116182477037025       0.7337548511718772
0.078     0.7583035343894929      0.7071714203829625      0.70779373820711         0.7302742048112225
0.0783    0.7548644394465498      0.703338245093904       0.7039677711613922       0.7267960915266554
0.0785    0.7514253445036042      0.6995035570204049      0.7001403467789875       0.7233205422866875
0.0789    0.7479862495606586      0.6956673561624678      0.6963114652723406       0.7198475881779047
0.0791    0.7445471546177131      0.6918296425200926      0.6924811268538964       0.7163772604049552
0.0794    0.7411080596747676      0.6879904160932795      0.6886493317360984       0.7129095902905533
0.0798    0.7376689647318232      0.6841496768820293      0.684816080131391        0.7094446092754805
0.0800    0.7342298697888776      0.68030742488634        0.6809813722522154       0.705982348918579
0.0804    0.7307907748459321      0.6764636601062125      0.6771452083110154       0.7025228408967616
0.0807    0.7273516799029865      0.672618382541647       0.6733075885202355       0.6990661170050042
0.0809    0.7239125849600422      0.6687715921926447      0.6694685130923201       0.6956122091563501
0.0813    0.7204734900170978      0.6649232890592043      0.6656279822397109       0.6921611493819056
0.0815    0.7170343950741535      0.6610734731413258      0.6617859961748522       0.6887129698308438
0.0818    0.7135953001312079      0.6572221444390081      0.6579425551101864       0.6852677027704019
0.0822    0.7101562051882624      0.6533693029522523      0.6540976592581581       0.6818253805858854
0.0824    0.7067171102453168      0.6495149486810585      0.6502513088312097       0.678386035780664
0.0828    0.7032780153023724      0.6456590816254277      0.646403504041787        0.6749497009761739
0.0831    0.6998389203594269      0.6418017017853577      0.6425542451023314       0.6715164089119138
0.0833    0.6963998254164814      0.6379428091608497      0.6387035322252872       0.6680861924454509
0.0837    0.6929607304735358      0.6340824037519036      0.634851365623097        0.6646590845524172
0.0839    0.6895216355305914      0.6302204855585206      0.6309977455082064       0.6612351183265112
0.0842    0.6860825405876458      0.6263570545806983      0.6271426720930569       0.6578143269794934
0.0846    0.6826434456447015      0.6224921108184392      0.6232861455900928       0.6543967438411947
0.0848    0.679204350701756       0.618625654271741       0.6194281662117579       0.6509824023595071
0.0852    0.6757652557588092      0.6147576849406033      0.6155687341704931       0.6475713361003897
0.0854    0.6723261608158648      0.61088820282503        0.6117078496787456       0.6441635787478712
0.0857    0.6688870658729205      0.6070172079250187      0.6078455129489588       0.6407591641040402
0.0861    0.665447970929975       0.6031447002405681      0.6039817241935728       0.6373581260890514
0.0863    0.6620088759870306      0.5992706797716806      0.6001164836250344       0.633960498741129
0.0867    0.6585697810440838      0.5953951465183526      0.5962497914557838       0.6305663162165569
0.087     0.6551306861011394      0.5915181004805891      0.592381647898268        0.6271756127896922
0.0872    0.651691591158194       0.5876395416583862      0.5885120531649279       0.6237884228529504
0.0876    0.6482524962152496      0.5837594700517464      0.5846410074682098       0.6204047809168172
0.0878    0.644813401272304       0.5798778856606674      0.5807685110205545       0.6170247216098401
0.0881    0.6413743063293584      0.5759947884851504      0.5768945640344055       0.613648279678635
0.0885    0.6379352113864141      0.5721101785251965      0.5730191667222089       0.6102754899878836
0.0887    0.6344961164434697      0.5682240557808045      0.5691423192964066       0.6069063875203309
0.0891    0.631057021500523       0.5643364202519721      0.5652640219694401       0.6035410073767863
0.0894    0.6276179265575786      0.5604472719387039      0.5613842749537565       0.6001793847761318
0.0896    0.6241788316146343      0.5565566108409978      0.557503078461798        0.5968215550553072
0.09      0.6207397366716887      0.5526644369588524      0.5536204327060066       0.5934675536693199
0.0902    0.6173006417287432      0.5487707502922688      0.5497363378988261       0.5901174161912452
0.0905    0.6138615467857976      0.5448755508412473      0.5458507942527013       0.5867711783122221
0.0909    0.6104224518428533      0.5409788386057889      0.5419638019800768       0.5834288758414565
0.0911    0.6069833568999077      0.5370806135858912      0.5380753612933936       0.5800905447062172
0.0915    0.6035442619569622      0.5331808757815555      0.5341854724050952       0.5767562209518405
0.0917    0.6001051670140178      0.5292796251927828      0.5302941355276288       0.5734259407417297
0.0920    0.5966660720710723      0.525376861819571       0.5264013508734331       0.570099740357349
0.0924    0.5932269771281267      0.521472585661921       0.5225071186549527       0.5667776561982326
0.0926    0.5897878821851823      0.5175667967198342      0.5186114390846348       0.5634597247819799
0.0929    0.5863487872422379      0.5136594949933093      0.5147143123749194       0.5601459827442531
0.0933    0.5829096922992912      0.5097506804823441      0.5108157387382473       0.5568364668387793
0.0935    0.5794705973563469      0.505840353186943       0.5069157183870693       0.5535312139373577
0.0939    0.5760315024134013      0.5019285131071027      0.503014251533823        0.5502302610298453
0.0941    0.5725924074704569      0.49801516024282566     0.49911133839095545      0.5469336452241707
0.0944    0.5691533125275102      0.4941002945941082      0.4952069791709067       0.5436414037463211
0.0948    0.5657142175845659      0.4901839161609548      0.4913011740861247       0.5403535739403587
0.0950    0.5622751226416203      0.4862660249433624      0.4873939233490485       0.5370701932684021
0.0953    0.5588360276986759      0.482346620941333       0.48348522717212505      0.5337912993106421
0.0957    0.5553969327557304      0.4784257041548644      0.4795750857677954       0.5305169297653295
0.0959    0.5519578378127861      0.47450327458395886     0.47566349934850427      0.527247122448786
0.0963    0.5485187428698405      0.4705793322286141      0.471750468126694        0.523981915295394
0.0965    0.5450796479268949      0.4666538770888313      0.46783599231480943      0.5207213463576048
0.0968    0.5416405529839494      0.46272690916461046     0.46392007212529374      0.517465453805934
0.0972    0.538201458041005       0.45879842845595264     0.46000270777059177      0.5142142759289645
0.0974    0.5347623630980595      0.45486843496285567     0.45608389946314365      0.5109678511333404
0.0978    0.5313232681551139      0.45093692868532054     0.45216364741539483      0.5077262179437756
0.0980    0.5278841732121684      0.44700390962334746     0.44824195183978804      0.5044894150030479
0.0983    0.524445078269224       0.44306937777693745     0.4443188129487702       0.5012574810720016
0.0987    0.5210059833262797      0.4391333331460894      0.44039423095478103      0.4980304550295451
0.0989    0.5175668883833341      0.4351957757308021      0.4364682060702632       0.49480837587265186
