% Value of the M-functions as a function of h1 for different overlappings
% h1   M_{(11)}^3               M_{(11)^2} M_{(11)}      M_{(11)^3}
0.399  0.6106674161931723       0.023634356170063597     0.006884994474330441
0.4    0.6127257529397034       0.023518977544199904     0.006825272559306872
0.401  0.6147816774801917       0.023403849938750387     0.006765666528198211
0.402  0.6168351902919227       0.023288976757122992     0.006706184404503379
0.403  0.6188862919304913       0.0231743612679024       0.006646834006108937
0.404  0.6209349830273089       0.023060006608066175     0.006587622947059724
0.405  0.6229812642871803       0.022945915786157844     0.006528558639386173
0.406  0.6250251364859435       0.022832091685424216     0.006469648294993913
0.407  0.6270666004681764       0.02271853706690602      0.006410898927598052
0.408  0.6291056571449672       0.02260525457249074      0.006352317354714532
0.409  0.6311423074917462       0.022492246727922716     0.00629391019969705
0.410  0.6331765525461781       0.022379515945770756     0.006235683893819899
0.411  0.635208393406117        0.022267064528352476     0.006177644678403038
0.412  0.6372378312276165       0.02215489467061621      0.0061197986069772
0.413  0.6392648672229979       0.022043008462980962     0.0060621515474906795
0.414  0.6412895026589768       0.021931407894129118     0.006004709184543211
0.415  0.6433117388548403       0.021820094853761685     0.0059474770216653705
0.416  0.6453315771806816       0.02170907113530307      0.005890460383616403
0.417  0.6473490190556842       0.021598338438567344     0.005833664418719575
0.418  0.6493640659464595       0.021487898372376746     0.005777094101219349
0.419  0.6513767193654327       0.021377752457138743     0.005720754233665359
0.420  0.6533869808692779       0.021267902127378335     0.005664649449317827
0.421  0.6553948520574014       0.021158348734225563     0.00560878421457206
0.422  0.6574003345704721       0.02104909354786         0.005553162831404002
0.423  0.6594034300889959       0.020940137759910327     0.00549778943982826
0.424  0.6614041403319353       0.02083148248581229      0.005442668020375574
0.425  0.6634024670553724       0.020723128767119847     0.005387802396577157
0.426  0.6653984120512145       0.020615077573774843     0.0053331962374643105
0.427  0.66739197714594         0.02050732980633352      0.005278853060074917
0.428  0.6693831641993855       0.02039988629814815      0.0052247762319687086
0.429  0.671371975103571        0.020292747817506618     0.005170968973745138
0.43   0.6733584117815641       0.020185915069730886     0.005117434361570861
0.431  0.6753424761863812       0.020079388699229095     0.005064175329702991
0.432  0.6773241702999256       0.01997316929150822      0.005011194673018526
0.433  0.6793034961319591       0.019867257375146052     0.004958495049542544
0.434  0.6812804557191102       0.019761653423716663     0.004906078982971351
0.435  0.6832550511239139       0.019656357857679996     0.004853948865196411
0.436  0.6852272844338854       0.01955137104622634      0.004802106958820995
0.437  0.6871971577606246       0.019446693309082885     0.0047505553996728955
0.438  0.689164673238952        0.01934232491827792      0.004699296199307534
0.439  0.6911298330260746       0.019238266099866064     0.0046483312475053
0.44   0.6930926393007798       0.01913451703561525      0.004597662314759499
0.441  0.6950530942626595       0.01903107786465058      0.0045472910547489365
0.442  0.69701120013136         0.018927948685065088     0.004497219006807218
0.443  0.6989669591458598       0.018825129555486764     0.004447447598370791
0.444  0.7009203735637722       0.01872262049661161      0.004397978147419546
0.445  0.7028714456606747       0.018620421492696604     0.004348811864898439
