# baryon number density as a function of h2 with the pade approximants, h1 = 0.8, nt = 50, beta = 0
# h2      [[0/1]]             [[1/1]]             [[2/1]]             [[2/2]]
0.0172    1.4756489555339014  1.4792004323183543  1.4803524703303776  1.4802706291936292
0.01742   1.473807952541133   1.4774326737563588  1.478622478480752   1.4785370091986056
0.0176    1.471971382754007   1.4756698940607929  1.4768982201975442  1.4768090088942298
0.0178    1.4701392305629462  1.473912072347032   1.4751796795792331  1.4750866103059874
0.01802   1.4683114804302555  1.4721591878463158  1.4734668407787668  1.4733697955061995
0.0182    1.4664881168897148  1.4704112199049497  1.471759688003365   1.4716585466140615
0.0184    1.4646691245461723  1.4686681479835184  1.4700582055143148  1.4699528457956819
0.01862   1.462854488075144   1.466929951656101   1.4683623776267736  1.468252675264113
0.0188    1.4610441922224142  1.4651966106094936  1.4666721887095662  1.466558017279387
0.019     1.4592382218036382  1.4634681046424414  1.464987623184989   1.4648688541485413
0.01922   1.4574365617039489  1.461744413664872   1.4633086655286092  1.4631851682256463
0.0194    1.4556391968775648  1.4600255176971393  1.4616353002690705  1.4615069419118316
0.0196    1.4538461123474011  1.4583113968692691  1.4599675119878912  1.459834157655305
0.0198    1.452057293204684   1.4566020314202162  1.4583052853192715  1.4581667979513746
0.02      1.4502727246085683  1.4548974016971237  1.456648604949896   1.4565048453424656
0.02023   1.4484923917857522  1.4531974881545873  1.4549974556187382  1.4548482824181348
0.0204    1.4467162800301043  1.4515022713539312  1.4533518221168662  1.453197091815084
0.0206    1.444944374702283   1.4498117319624821  1.45171168928725    1.4515512562171715
0.02083   1.4431766612293648  1.448125850752856   1.450077042024563   1.4499107583554196
0.021     1.4414131251044742  1.446444608602246   1.4484478652749957  1.4482755810080203
0.0212    1.439653751886413   1.4447679864917176  1.4468241440360594  1.446645707000344
0.02142   1.437898527199296   1.443095965505511   1.4452058633563951  1.4450211192049374
0.0216    1.436147436732186   1.441428526830346   1.4435930083355824  1.4434018005415243
0.0218    1.4344004662387335  1.4397656517547346  1.4419855641239492  1.4417877339770062
0.02202   1.432657601536816   1.4381073216682991  1.4403835159223823  1.4401789025254579
0.0222    1.430918828508184   1.4364535180610931  1.4387868489821374  1.438575289248121
0.0224    1.4291841330981043  1.4348042225229316  1.4371955486046502  1.4369768772533968
0.02262   1.4274535013150091  1.4331594167427246  1.4356096001413512  1.4353836496968377
0.0228    1.4257269192301483  1.431519082507815   1.434028988993472   1.433795589781136
0.023     1.4240043729772371  1.429883201703324   1.4324537006118672  1.4322126807561095
0.02322   1.4222858487521175  1.4282517563114983  1.4308837204968192  1.4306349059186885
0.0234    1.4205713328124097  1.4266247284110678  1.42931903419786    1.4290622486128979
0.0236    1.4188608114771752  1.4250021001766016  1.4277596273135809  1.42749469222984
0.0238    1.4171542711265772  1.4233838538778767  1.4262054854914523  1.4259322202076725
0.024     1.415451698201545   1.421769971879244   1.424656594427636   1.424374816031591
0.02423   1.4137530792034394  1.4201604366390042  1.4231129398668059  1.4228224632338007
0.0244    1.4120584006937211  1.4185552307087885  1.4215745076019637  1.4212751453934938
0.0246    1.410367649293622   1.416954336732941   1.4200412834742555  1.419732846136823
0.02483   1.4086808116838165  1.415357737447911   1.4185132533727933  1.418195549136874
0.025     1.4069978746040974  1.413765415681642   1.4169904032344731  1.4166632381136346
0.0252    1.4053188248530522  1.4121773543529756  1.4154727190437946  1.4151358968339616
0.02542   1.403643649287741   1.410593536471053   1.4139601868326817  1.4136135091115518
0.0256    1.4019723348233806  1.4090139451347201  1.4124527926803045  1.4120960588069065
0.0258    1.4003048684330228  1.4074385635319469  1.4109505227129011  1.4105835298272942
0.02602   1.3986412371472423  1.4058673749392379  1.4094533631035975  1.4090759061267142
0.0262    1.3969814280538266  1.4043003627210582  1.4079613000722366  1.4075731717058597
0.0264    1.395325428297459   1.4027375103292583  1.4064743198851946  1.4060753106120754
0.02662   1.393673225079414   1.4011788013025053  1.4049924088552093  1.404582306939317
