# baryon number density as a function of pion mass, computed at a = 0.2 fm and T = 20 MeV
# mpi  nb @ k4                 nb_error @ k4            nb @ k6                  nb_error @ k6            nb @ k8              nb_error @ k8
6.55                0.0016318925781180812   0.000010887458100822473  0.001631372829624215    5.19748493866103e-7      0.0016313760710635699   3.2414393547758324e-9
6.7                 0.0015344377401955338   7.502164141268445e-6     0.0015341280366816768   3.0970351385696537e-7    0.0015341299012992258   1.864617548905101e-9
6.8500000000000005  0.001443153235900037    5.175704916717504e-6     0.0014429684971825386   1.8473871749849144e-7    0.0014429695569669876   1.0597844489999841e-9
7.                  0.0013577304494068751   3.5749012301865106e-6    0.0013576201374841297   1.1031192274544264e-7    0.001357620734128363    5.966442333683181e-10
7.15                0.0012778589742272859   2.4720553066489084e-6    0.0012777930367182352   6.593750905069078e-8     0.0012777933700618754   3.3334364023425433e-10
7.3                 0.0012032275798636097   1.711352311923502e-6     0.0012031881268552713   3.9453008338378656e-8    0.0012031883119358894   1.8508061814907772e-10
7.45                0.001133526843723038    1.1860280950913831e-6    0.0011335032141176534   2.3629605384574773e-8    0.0011335033163519291   1.0223427573258226e-10
7.6000000000000005  0.001068452243382568    8.228333269492613e-7     0.0010684380772185674   1.416616400053139e-8     0.0010684381334491865   5.623061911930183e-11
7.75                0.0010077070748926696   5.714485177220861e-7     0.0010076985741321427   8.500760526920781e-9     0.0010076986049490267   3.081688398388904e-11
7.9                 0.0009510049017947696   3.9726265183763314e-7    0.0009509997960044242   5.1057903454210934e-9    0.0009509998128422381   1.683781391224881e-11
8.05                0.0008980714341965121   2.7644003214278515e-7    0.0008980683647674315   3.0694290806959623e-9    0.0008980683739435967   9.176165252991475e-12
8.2                 0.0008486458432341108   1.9254581204344434e-7    0.0008486439963855342   1.84684857652221e-9      0.0008486440013752752   4.9897409338042764e-12
8.35                0.00080248156891634     1.3423469436457842e-7    0.0008024804567400841   1.1121762559301515e-9    0.0008024804594482249   2.70814078627557e-12
8.5                 0.0007593467007476425   9.366577482182968e-8     0.0007593460304399615   6.703076809973577e-10    0.0007593460319073802   1.4674187429411512e-12
8.65                0.0007190240144144295   6.541400307351602e-8     0.0007190236100967866   4.0431764284244026e-10   0.0007190236108907884   7.940018000723859e-13
8.8                 0.000681310742515693    4.57217333852452e-8      0.0006813104984487863   2.4406690665897124e-10   0.0006813104988778819   4.290955611663261e-13
8.950000000000001   0.0006460181478010813   3.1983476083828795e-8    0.0006460180003585612   1.4744252010718412e-10   0.0006460180005902047   2.3164348043891447e-13
9.1                 0.0006129709565040463   2.239076083549417e-8     0.0006129708673677974   8.913624894614502e-11    0.0006129708674927305   1.2493315843659092e-13
9.25                0.0005820066986782922   1.5687068579458424e-8    0.0005820066447528096   5.392548267733194e-11    0.0005820066448201347   6.732516020374613e-14
9.4                 0.0005529749927673342   1.0998523444533288e-8    0.0005529749601211564   3.264617775330242e-11    0.000552974960157411    3.6254528025525534e-14
9.55                0.0005257368032316467   7.71679306858699e-9      0.0005257367834546648   1.9776981918448455e-11   0.0005257367834741752   1.951043493431115e-14
9.700000000000001   0.0005001636930435054   5.4180096931274666e-9    0.0005001636810549163   1.1988589049445608e-11   0.00050016368106541     1.0493667566835452e-14
9.85                0.00047613708710602103  3.80657211068898e-9      0.00047613707983412316  7.2718978733586626e-12   0.0004761370798397642   5.641049693333455e-15
10.                 0.0004535475580535314   2.6761529927309645e-9    0.0004535475536399554   4.413576004235614e-12    0.00045354755364298654  3.031158223726349e-15
