# binding energy as a function of mu_b / m_b with the pade approximants, kappa = 0.08, nt = 50, beta = 0
# h2     [[0/1]]                   [[1/1]]                   [[2/1]]                   [[2/2]]
0.9555  -3.015016791192627e-7     -1.3187523549060377e-7    -8.212558641198969e-8     -8.34079421157761e-8
0.9556  -3.098992018129162e-7     -1.3554806830222175e-7    -8.441299916236722e-8     -8.573094606263231e-8
0.9557  -3.185305994623472e-7     -1.393231799926599e-7     -8.676411880334874e-8     -8.811864104997938e-8
0.9558  -3.2740238471532943e-7    -1.4320341805716305e-7    -8.918071943873616e-8     -9.057282818655818e-8
0.9559  -3.3652125152577033e-7    -1.4719170922726123e-7    -9.166462456788714e-8     -9.309535870450764e-8
0.956   -3.4589408019827793e-7    -1.5129106167248488e-7    -9.421770845705995e-8     -9.568813535489107e-8
0.9561  -3.555279425729122e-7     -1.555045672637399e-7     -9.684189755461457e-8     -9.835311383554323e-8
0.9562  -3.654301073541289e-7     -1.5983540390277537e-7    -9.953917194141534e-8     -1.010923042642027e-7
0.9563  -3.75608045587703e-7      -1.6428683790920388e-7    -1.0231156682456696e-7    -1.0390777269542609e-7
0.9564  -3.860694362898367e-7     -1.6886222647851625e-7    -1.0516117406999618e-7    -1.0680164266896597e-7
0.9565  -3.968221722327932e-7     -1.7356502021172213e-7    -1.0809014378085404e-7    -1.0977609681432941e-7
0.9566  -4.0787436589109837e-7    -1.783987657047963e-7     -1.111006859144329e-7     -1.1283337848482281e-7
0.9567  -4.192343555530615e-7     -1.8336710822036787e-7    -1.1419507195312632e-7    -1.1597579345467139e-7
0.9568  -4.3091071160207247e-7    -1.8847379442812372e-7    -1.1737563660957529e-7    -1.1920571164862985e-7
0.9569  -4.4291224297223206e-7    -1.9372267522047596e-7    -1.206447795916302e-7     -1.2252556892160884e-7
0.957   -4.552480037834808e-7     -1.9911770860970575e-7    -1.240049674065748e-7     -1.2593786889634307e-7
0.9571  -4.6792730016086647e-7    -2.046629627028968e-7     -1.2745873522186018e-7    -1.2944518484676397e-7
0.9572  -4.809596972431723e-7     -2.1036261875921787e-7    -1.3100868877403584e-7    -1.3305016162522482e-7
0.9573  -4.943550263863221e-7     -2.1622097433633598e-7    -1.3465750633093606e-7    -1.3675551766053244e-7
0.9574  -5.081233925665484e-7     -2.2224244651288183e-7    -1.384079407115255e-7     -1.4056404699549715e-7
0.9575  -5.22275181989343e-7      -2.2843157521563816e-7    -1.4226282135766654e-7    -1.4447862139133384e-7
0.9576  -5.368210699094857e-7     -2.3479302662580204e-7    -1.4622505646726233e-7    -1.4850219248152176e-7
0.9577  -5.517720286680451e-7     -2.4133159668374154e-7    -1.5029763518199473e-7    -1.5263779399536696e-7
0.9578  -5.671393359527897e-7     -2.4805221469669173e-7    -1.5448362984076686e-7    -1.5688854403348664e-7
0.9579  -5.829345832875065e-7     -2.5495994703385127e-7    -1.5878619829319474e-7    -1.6125764741372e-7
0.958   -5.991696847569759e-7     -2.620600009375261e-7     -1.632085862757475e-7     -1.657483980770091e-7
0.9581  -6.158568859742096e-7     -2.6935772842779625e-7    -1.677541298598131e-7     -1.7036418156372515e-7
0.9582  -6.330087732961808e-7     -2.768586303223117e-7     -1.724262579586759e-7     -1.751084775531816e-7
