# Baryon mass and effective baryon mass computed at different kappa
# kappa  mb                  mb_eff
#0.1      4.822234691225919   4.792715624800689
0.101    4.792196995619565   4.761954522961481
#0.102    4.762449515542115   4.731473969809769
#0.103    4.732986465877232   4.701268164100688
#0.104    4.703802227525413   4.671331470825526
#0.105    4.674891341028811   4.641658414820736
0.106    4.646248500497699   4.612243674680031
#0.107    4.617868547821604   4.583082076950328
#0.108    4.589746467149172   4.554168590597875
#0.109    4.5618773796219285  4.525498321727796
#0.11     4.534256538347984   4.49706650854438
0.111    4.506879323602657   4.468868516538492
#0.112    4.479741238243792   4.44089983389011
#0.113    4.452837903330301   4.413156067074312
#0.114    4.426165053933183   4.385632936660214
#0.115    4.399718535128924   4.358326273292539
0.116    4.373494298165775   4.331232013846545
#0.117    4.347488396794009   4.3043461977471935
#0.118    4.321696983751771   4.277664963444064
#0.119    4.296116307398608   4.251184545034782
#0.120    4.270742708489281   4.224901269028682
0.121    4.2455726170808346  4.198811551244143
#0.122    4.22060254956635    4.172911893833244
#0.123    4.195829105829147   4.147198882426699
#0.124    4.171248966511577   4.121669183394318
#0.125    4.1468588903928705  4.0963195412145375
0.126    4.122655711870809   4.071146775948232
#0.127    4.098636338542281   4.046147780811809
#0.128    4.0747977488780505  4.0213195198448295
#0.129    4.051136989987334   3.996659025667901
#0.13     4.027651175467999   3.972163397326535
0.131    4.004337483338432   3.9478297982170645
#0.132    3.9811931540473453  3.923655454090835
#0.133    3.958215488557954   3.8996376511332964
#0.134    3.9354018465031886  3.875773734114509
#0.135    3.912749644408737   3.8520611046077313
0.136    3.890256353980909   3.8284972192734714
#0.137    3.867919500456446   3.805079588205853
#0.138    3.8457366610115598  3.7818057733384776
#0.139    3.8237054632276095  3.7586733869076636
#0.14     3.8018235836109757  3.7356800899700304
0.141    3.7800887461647736  3.71282359097269
#0.142    3.758498721010214   3.6901016443732675
#0.143    3.73705132305548    3.6675120493081548
#0.144    3.715744410710121   3.6450526483066414
#0.145    3.6945758846430534  3.6227213260491986
0.146    3.673543686582346   3.600516008168072
#0.147    3.6526457981550498  3.5784346600884698
#0.148    3.6318802397654326  3.5564752859086046
#0.149    3.611245069510037   3.534635927317277
#0.15     3.5907383821280545  3.5129146625471948
0.151    3.5703583079855936  3.49130960536282
#0.152    3.5501030120924657  3.4698189040814515
#0.153    3.52997069315019    3.448440740625916
#0.154    3.509959582629966   3.427173329608089
#0.155    3.4900679438794224  3.4060149174417362
0.156    3.470294071257014   3.384963781483627
#0.157    3.450636289292961   3.364018229202062
#0.158    3.4310929518757076  3.3431765973714183
#0.159    3.4116624414628953  3.3224372512921
#0.16     3.392343168315895   3.3017985840347484
0.161    3.3731335697569964  3.281259015707879
#0.162    3.3540321094483745  3.260816992748131
#0.163    3.3350372766919927  3.240470987232227
#0.164    3.3161475857496456  3.22021949621004
#0.165    3.2973615751823795  3.200061041057763
0.166    3.2786778072085294  3.1799941668507663
#0.167    3.260094867079695   3.1600174417552234
#0.168    3.2416113624739507  3.1401294564379767
#0.169    3.223225922905655   3.1203288234940376
#0.17     3.204937199151218   3.100614176891047
0.171    3.186743862690243   3.0809841714301625
#0.172    3.1686446051614388  3.0614374822229
#0.173    3.1506381378327726  3.0419728041832754
#0.174    3.132723191085304   3.0225888515348847
#0.175    3.1148985139102026  3.003284357332335
0.176    3.0971628734184398  2.9840580729966777
#0.177    3.079515054362687   2.964908767864275
#0.178    3.0619538586709454  2.9458352287488716
#0.179    3.0444781049914775  2.9268362595162873
#0.18     3.027086628248605   2.907910680671434
0.181    3.009778279208949   2.88905732895734
#0.182    2.9925519240577354  2.870275056965745
#0.183    2.9754064439847503  2.8515627327589996
#0.184    2.958340734779599   2.8329192395029184
#0.185    2.941353706435889   2.81434347511029
0.186    2.92444428276399    2.795834351894796
#0.187    2.9076114010120406  2.7773907962350015
#0.188    2.8908540114948624  2.759011748248212
#0.189    2.8741710772304683  2.740696161473892
#0.19     2.8575615735838564  2.7224430025665005
0.191    2.841024487917786   2.7042512509973995
#0.192    2.824558819250247   2.686119898765731
#0.193    2.8081635779183367  2.6680479501179706
#0.194    2.7918377852482683  2.6500344212760805
#0.195    2.775580473231243   2.6320783401739387
0.196    2.759390684204921   2.6141787462019894
#0.197    2.743267470540239   2.5963346899599142
#0.198    2.7272098943333196  2.5785452330171683
#0.199    2.711217027102231   2.5608094476812484
#0.2      2.6952879494883586  2.5431264167735486
0.201    2.6794217509621494  2.5254952334127205
#0.202    2.6636175295330053  2.5079150008053914
#0.203    2.6478743914630964  2.4903848320441098
#0.204    2.6321914509848705  2.47290384991253
#0.205    2.6165678300220474  2.455471186697592
0.206    2.6010026579138725  2.4380859840087594
#0.207    2.585495071142431   2.420747392604197
#0.208    2.5700442130627996  2.403454572223772
#0.209    2.5546492336358417  2.3862066914289057
#0.21     2.5393092891634277  2.3690029274491975
0.211    2.52402354202589    2.35184246603579
#0.212    2.508791160421504   2.3347245013214133
#0.213    2.493611318107792   2.317648235687156
#0.214    2.47848319414446    2.3006128796358896
#0.215    2.4634059726377586  2.2836176516723676
0.216    2.448378842486074   2.26666177819
#0.217    2.43340099712655    2.2497444933643194
#0.218    2.4184716342825423  2.232865039053158
#0.219    2.4035899557117024  2.216022664703544
#0.22     2.388755166954497   2.199216627265397
0.221    2.373966477082955   2.1824461911120197
#0.222    2.3592230984494416  2.1657106279674787
#0.223    2.344524246435255   2.1490092168409007
#0.224    2.32986913919884    2.1323412439678036
#0.225    2.3152569974234063  2.11570600275848
0.226    2.3006870440637384  2.09910279375358
#0.227    2.286158504091989   2.08253092458696
#0.228    2.2716706042422268  2.0659897099558964
#0.229    2.257222572753526   2.0494784715988117
#0.23     2.2428136391113616  2.0329965382806234
0.231    2.228443033787085   2.016543245785823
#0.232    2.214109987975245   2.0001179369194952
#0.233    2.1998137333285017  1.9837199615163572
#0.234    2.1855535016898986  1.9673486764580523
#0.235    2.1713285248222314  1.9510034456988175
0.236    2.1571380341342494  1.9346836402997578
#0.237    2.1429812604034284  1.918388638471887
#0.238    2.128857433495037   1.9021178256281814
